Company Name,Year,Months,Total income,Total liabilities,Total assets,Profit after tax,Total expenses,Indirect taxes,Rent & lease rent,Sales,Income from financial services,Other income
Indus Valley Enterprises Pvt. Ltd.,31-03-2024,12,,591.8,591.8,-0.7,0.7,,,,,
Indus Weir Inds. Ltd.,31-03-2014,12,16.4,297.7,297.7,-123.7,140.1,,4,5.8,9.9,0.7
Indus-League Clothing Ltd.,31-03-2021,12,0.3,896.1,896.1,0,0.3,,,,0.3,
Indusind Bank Ltd.,31-03-2024,12,551390,5158264.3,5158264.3,89497.8,461892.2,,6361.6,,543725.7,7664.3
Indusind Enterprises & Finance Ltd. [Merged],31-03-2002,12,268.6,1609,1609,162.5,106.1,2.2,0.6,65.5,192.7,0.7
Indusind Information Technology Ltd.,31-03-2023,12,1.4,173.4,173.4,0.9,0.5,,,,1.4,
Industrial & Commercial Bank Of China Ltd.,31-03-2023,12,2458.4,43594.4,43594.4,148.1,2310.3,,90.8,,2451.5,
Industrial & Prudential Invst. Co. Ltd.,31-03-2024,12,173.6,5152.1,5152.1,157.3,16.3,,,,173,
Industrial Bank Of Korea,31-03-2020,12,520.9,6667.2,6667.2,206.8,314.1,,36.6,,507.7,
Industrial Energy Ltd.,31-03-2024,12,3499.4,20782.2,20782.2,1198.6,2300.8,,,1510.2,1946.6,3.7
Industrial Fiscal Services Ltd.,31-03-2023,12,17.9,182.4,182.4,0.5,17.4,,0.1,0.2,16.4,
Industrial Investment Bank Of India Ltd.,31-03-2010,12,2385.2,7836.8,7836.8,542.8,1842.4,1.5,1,,523.8,6.2
Industrial Investment Trust Ltd.,31-03-2024,12,645.6,4122,4122,510,135.6,,2.4,1.2,374.7,0.2
Industrial Promotion & Invst. Corpn. Of Odisha Ltd.,31-03-2023,12,5904.5,8674.3,8674.3,4347.7,1556.8,0.1,,747.2,5156,1.3
Industrial Venture Capital Ltd.,31-03-2022,12,,50.1,50.1,-0.3,0.3,,,,,
Inesh Realtors Pvt. Ltd.,31-03-2023,12,82.3,1242.6,1242.6,-103.2,185.5,1.2,,82.3,,
Inews.Com Ltd. [Merged],31-03-2010,12,,69.5,69.5,-0.1,0.1,,,,,
Infiana Projects Pvt. Ltd.,31-03-2012,12,10.2,70.5,70.5,7.4,2.8,,0.1,,10,
Infibeam Digital Entertainment Pvt. Ltd.,31-03-2023,12,1.2,1.4,1.4,0.1,1.1,,0.1,,,
Infina Finance Pvt. Ltd.,31-03-2023,12,2345.3,38077.1,38077.1,1055.5,1289.8,6.8,2.1,1.2,2273.7,3.2
Infinion Biopharma Ltd.,31-03-2023,12,57.7,229.2,229.2,55.8,1.9,,,,0.1,57.6
Infinite Financial Services Pvt. Ltd.,31-03-2022,12,2.2,33.8,33.8,0.2,2,0.1,,1,1.2,
Infinite India Invst. Mgmt. Ltd.,31-03-2024,12,363.1,550.7,550.7,216.2,146.9,3.3,,132.3,230.2,0.6
Infinite Infocity Ltd.,31-03-2022,12,,43.9,43.9,-0.2,0.2,,,,,
Infinite Infocomplex Pvt. Ltd.,31-03-2022,12,0.6,45.6,45.6,0.4,0.2,,,,0.6,
Infinite Infopark Ltd.,31-03-2022,12,6.6,52.1,52.1,6.2,0.4,,,,6.6,
Infinite Infoworld Ltd.,31-03-2022,12,0.1,45.7,45.7,0.1,,,,,0.1,
Infinite Skytech Ltd.,31-03-2023,12,0.1,170.4,170.4,-0.1,0.2,,,,0.1,
Infinite Tech Ventures Ltd.,31-03-2022,12,0.1,3.5,3.5,0.1,,,,,0.1,
Infinite Techhub Ltd.,31-03-2022,12,0.1,76.4,76.4,-0.4,0.5,0.5,,,0.1,
Infinite Techsoft Ltd.,31-03-2022,12,,48.2,48.2,,,,,,,
Infinite Techworld Ltd.,31-03-2023,12,,192.2,192.2,-0.5,0.5,,,,,
Infinity Finance Ltd. [Merged],31-03-2012,12,3.2,330.2,330.2,-1.9,5.1,,,,3.2,
Infinity Fincorp Solutions Pvt. Ltd.,31-03-2023,12,793.7,5644.1,5644.1,138,655.7,4.2,12.3,,764.2,10.5
Infinity Infrastructure Developers Pvt. Ltd.,31-03-2011,12,,54.2,54.2,-0.2,0.2,,,,,
Infinity.Com Financial Securities Ltd.,31-03-2023,12,50.3,467.7,467.7,2.3,48,,0.4,,50.3,
Infosys Consulting India Ltd. [Merged],31-03-2013,12,5,90.8,90.8,2.6,2.4,,,,5,
Infotel Telecom Ltd. [Merged],31-03-2014,12,1.1,11869.2,11869.2,0.1,1,,0.1,,1.1,
Infra Max Ltd.,31-03-2010,12,0.2,70.3,70.3,-1,1.2,,,,0.2,
Infrastructure Development Corpn. (Karnataka) Ltd.,31-03-2023,12,447.6,1411.8,1411.8,2.1,445.5,1.5,10.3,392.9,41.4,
Infrastructure Finance Co. Gujarat Ltd.,31-03-2010,12,2.1,18.5,18.5,1.6,0.5,0.1,,0.8,1.3,
Infrastructure Leasing & Financial Services Ltd.,31-03-2019,12,8236.9,141281.3,141281.3,-225440.2,233677.1,,218.5,1196.6,5755.2,
Infusions (India) Ltd.,31-03-2011,12,0.1,12.7,12.7,-15.9,16,,,,0.1,
Inland Power Ltd.,31-03-2011,12,0.9,287.4,287.4,0.1,0.8,,,,0.8,0.1
Innovassynth Investments Ltd.,31-03-2024,12,,387.7,387.7,-7,7,,0.1,,,
Innovate Securities Pvt. Ltd.,31-03-2023,12,46,261.6,261.6,10.2,35.8,0.3,0.1,,46,
Innovative Finvest Ltd.,31-03-2023,12,4.3,57.4,57.4,0.4,3.9,,0.4,,4.3,
Innovative Insurance Services Ltd. [Merged],31-03-2012,12,17.6,203.3,203.3,-9.5,27.1,,,,,17.6
Innoventive Venture Ltd.,31-03-2015,12,,174.8,174.8,-10.2,10.2,,0.1,,,
Inox Infrastructure Ltd.,31-03-2023,12,2.5,621.4,621.4,-0.2,2.7,0.2,,,2.3,
Inox Leasing & Finance Ltd.,31-03-2023,12,4496.5,10696.6,10696.6,3742.8,753.7,2.6,1.3,31.6,4447.5,
Inox Wind Energy Ltd.,31-03-2024,12,10732.7,23351.6,23351.6,10176.1,556.6,4.6,0.2,30.7,10675.3,8.4
Inpac Projects Intl. Pvt. Ltd.,31-03-2022,12,,44.9,44.9,-0.3,0.3,0.1,,,,
Inshaallah Investments Ltd.,31-03-2023,12,0.2,4.1,4.1,0.1,0.1,,,,0.2,
Insight Commodities & Futures Pvt. Ltd. [Merged],31-03-2021,12,9.3,73.2,73.2,5.3,4,0.1,,,9.3,
Insight Inside Consulting Pvt. Ltd.,31-03-2022,12,0.6,29.6,29.6,-0.5,1.1,,,0.2,0.4,
Insilco Agents Ltd.,31-03-2021,12,132.5,800.2,800.2,114.1,18.4,,,,132.5,
Insilco Ltd.,31-03-2024,12,416.6,435.8,435.8,313.6,103,3,2.2,,24.4,
Insitel Services Pvt. Ltd.,31-03-2023,12,151.7,3249.1,3249.1,108.7,43,,,,150.8,0.6
Inspira Infra (Aurangabad) Ltd.,31-03-2023,12,0.2,1643.7,1643.7,-8.3,8.5,,,,,0.2
Inspire India Properties Ltd.,31-03-2022,12,1,69,69,-1.1,2.6,,0.5,,1,
Insta Finance Ltd.,31-03-2018,12,0.9,47.6,47.6,0,0.9,,0.1,,0.9,
Instant Holdings Ltd.,31-03-2023,12,254.7,34373.6,34373.6,175.6,79.1,,0.1,,252.9,
Instant Trading & Invst. Co. Ltd.,31-03-2005,12,10.4,1391.3,1391.3,-50.7,61.1,,,,10.4,
Institute Of Quality Pvt. Ltd. [Merged],31-03-2012,12,0.7,40.1,40.1,-1.1,1.8,,,,0.3,
Instronics Ltd.,31-03-2014,12,1.7,271.6,271.6,-6.9,8.6,,0.1,,1.6,
Intec Capital Ltd.,31-03-2024,12,37.9,1866.5,1866.5,-136.9,174.8,0.1,1,,26.6,0.2
Intechs Manufacturing Ltd.,31-03-2012,12,0.1,6.4,6.4,-0.5,0.6,,,,0.1,
Intecon (India) Ltd.,31-03-2007,12,,0.5,0.5,-0.1,0.1,,,,,
Integra Capital Ltd.,31-03-2024,12,12.5,48.4,48.4,9.6,2.9,0.2,,,12.5,
Integra Securities Pvt. Ltd.,31-03-2011,12,7.9,32.9,32.9,1.2,6.7,,0.1,,7.1,0.7
Integra Switchgear Ltd.,31-03-2024,12,0.5,23,23,-2.2,2.7,,,,0.5,
Integral Energy Ltd.,31-03-2021,12,0.4,41,41,-5.7,6.1,,0.3,,0.4,
Integrated Capital Services Ltd.,31-03-2024,12,4,111.4,111.4,1.6,2.4,0.4,,1.3,2.5,0.1
Integrated Electrical Controls India Pvt. Ltd.,31-03-2023,12,3.2,61.9,61.9,0.6,2.6,,,,3.2,
Integrated Enterprises (India) Pvt. Ltd.,31-03-2023,12,993.5,1778,1778,128.1,865.4,7.4,31.6,,956,2.5
Integrated Finance Co. Ltd.,31-03-2012,12,16.2,2189.1,2189.1,-73.1,89.3,,0.5,0.7,8.2,2
Integrated Financial Services Ltd.,31-03-2023,12,74.7,772.5,772.5,54.9,19.8,,,,74.7,
Integrated Stock Broking Services Pvt. Ltd.,31-03-2012,12,1.6,25.6,25.6,-7.7,9.3,,0.1,,0.8,0.8
Integrus Realty Pvt. Ltd.,31-03-2023,12,0.1,100.6,100.6,0,0.1,,,,0.1,
Intelecom Ltd.,31-03-2007,12,0.5,0.5,0.5,0,0.5,,0.1,0.5,,
Intellect Stock Broking Ltd.,31-03-2023,12,153.3,644.3,644.3,52.7,100.6,,4.8,,65.2,88.1
Intelligent Supply Chain Infrastructure Trust,31-03-2024,8,2567.4,51612.5,51612.5,1299.5,1267.9,44.1,,,2567.4,
Intelligent Technologies Ltd.,31-03-2010,12,0.4,3.8,3.8,0.3,0.1,0.1,,,0.4,
Inter Corporate Financiers & Consultants Ltd.,31-03-2024,12,2.7,65.9,65.9,0.3,2.4,,0.2,2.4,,0.3
Inter Globe Finance Ltd.,31-03-2024,12,288.5,1225.2,1225.2,84.4,204.1,,1.3,,236,0.1
Inter-Connected Enterprises Ltd.,31-03-2023,12,10.4,202.2,202.2,0,10.4,,0.5,4,6.1,
Interactive Financial Services Ltd.,31-03-2024,12,34.8,136.7,136.7,6.1,28.7,,0.7,30.7,4.1,
Intercontinental Publications Pvt. Ltd.,31-03-2010,12,0.6,0.1,0.1,-0.2,0.8,,,,0.6,
Interface Brokerage & Research Ltd.,31-03-2014,12,0.4,29.1,29.1,0,0.4,,,,0.4,
Interface Housing Finance Ltd.,31-03-2009,12,,3.5,3.5,,,,,,,
Interface Network Mktg. Pvt. Ltd.,31-03-2010,12,0.4,4.8,4.8,0.1,0.3,,,,0.1,
Intergarden (India) Pvt. Ltd.,31-03-2023,12,11.5,38.1,38.1,-18.4,29.9,0.1,,,1.1,
Interglobe Enterprises Ltd. [Merged],31-03-2016,12,9332,13851.3,13851.3,8111,1221,4.7,16.3,857.5,5999.4,58.2
"Interise Investment Managers Ltd,",31-03-2023,12,419.7,350.7,350.7,40.5,379.2,,6.8,,405.3,14.4
Interkiln Industries Pvt. Ltd.,31-03-2022,12,0.5,25.8,25.8,-0.1,0.6,,0.2,,0.1,
International Asset Reconstruction Co. Pvt. Ltd.,31-03-2024,12,453.1,2600.5,2600.5,-659.2,1112.3,,2.1,,450.3,
International Autotrac Finance Ltd. [Merged],31-03-2013,12,410.9,41.4,41.4,13.9,397,,0.1,,8,
International Commenter Ltd.,31-03-2008,12,,69.6,69.6,-0.1,0.1,,,,,
International Credits Ltd.,31-03-2022,12,1.7,15,15,1.2,0.5,,,,1.7,
International Development & Engg. Associates Ltd.,31-03-2010,12,17.6,320.7,320.7,9.2,8.4,0.1,0.6,,16.9,
International Housing Finance Corpn. Ltd.,31-03-2017,12,,157.1,157.1,-0.9,0.9,0.1,,,,
International Manpower Resources Pvt. Ltd.,31-03-2022,12,1.1,11.9,11.9,-2.6,3.7,,,0.5,0.6,
International Recreation & Amusement Ltd.,31-03-2014,12,42.4,3837.8,3837.8,-71.7,114.1,,,0.1,42.2,
International Resources Ltd. [Merged],31-03-2019,12,3.2,41.7,41.7,-2.6,5.8,,,,3.2,
International Seaports (India) Pvt. Ltd. [Merged],31-03-2014,12,,0.1,0.1,-0.1,0.1,,,,,
International Securities Ltd.,31-03-2024,12,10.8,126.5,126.5,-5.4,16.2,,0.7,,9.8,0.1
Interocean Navigation Ltd.,31-03-2023,12,7.6,143.4,143.4,-0.2,7.8,,,1.1,6.4,
Intime Multi Commodity Co. Ltd.,31-03-2023,12,2.4,56.7,56.7,0.8,1.6,0.1,0.1,,2.2,
Intrans Engineering Ltd.,31-03-2021,12,24.1,94.8,94.8,19.4,4.7,2.8,0.1,,8.2,
Intrasoft Technologies Ltd.,31-03-2024,12,143.3,1617.9,1617.9,28.5,114.8,0.4,1.8,59.6,83.5,0.2
Intravest (India) Ltd.,31-03-2008,12,,2.5,2.5,,,,,,,
Inuva Info Mgmt. Pvt. Ltd.,31-03-2019,12,,1.4,1.4,-0.5,0.5,,0.1,,,
Inventive Infracon Pvt. Ltd.,31-03-2023,12,1.2,1717.6,1717.6,0.7,145.9,,0.1,,1.2,
Inventure Commodities Ltd.,31-03-2022,12,10.9,105,105,7.1,3.8,,,,,1.6
Inventure Finance Pvt. Ltd.,31-03-2023,12,141.4,1062.3,1062.3,43.6,97.8,,,,86.4,
Inventure Growth & Securities Ltd.,31-03-2024,12,481.5,2743.1,2743.1,60.6,420.9,0.8,3.2,,466.1,15.4
Inventure Insurance Broking Pvt. Ltd.,31-03-2022,12,1.3,10.3,10.3,1,0.3,,,,,1.3
Inventure Merchant Banker Services Pvt. Ltd.,31-03-2022,12,5.1,60.9,60.9,-2.3,7.4,,,3.1,,2
Inventure Wealth Mgmt. Ltd.,31-03-2023,12,0.4,6.7,6.7,0.2,0.2,,,,0.4,
Inversion Agro Ventures Pvt. Ltd.,31-03-2011,12,2.5,36.3,36.3,0.8,1.7,,0.3,,2.5,
Invesca Share Securities Ltd.,31-03-2009,12,1.1,77.5,77.5,0.5,0.6,,,,1.1,
Invesco Asset Mgmt. (India) Pvt. Ltd.,31-03-2023,12,2002.5,2677.5,2677.5,447.7,1554.8,0.7,52.6,163,1836.1,0.2
Invesco Fiscal Services Ltd.,31-03-2011,12,2.6,97.6,97.6,1.4,1.2,,,,1.9,0.7
Invesco Trustee Pvt. Ltd.,31-03-2023,12,6.4,2,2,0,6.4,,,,6.4,
Investa Ltd. [Merged],31-03-1996,12,61.2,282.8,282.8,29.8,31.4,,,,60.9,
Investmentor Securities Ltd.,31-03-2023,12,52.2,313.9,313.9,1.7,50.5,,0.3,,51.9,0.3
Investor Services Of India Ltd.,31-03-2009,12,39.5,196.6,196.6,9.5,30,,2.7,,38.1,1.3
Investors India Ltd.,31-03-2011,12,11.9,51,51,8.4,3.5,,,0.8,11.1,
Invigorated Business Consulting Ltd.,31-03-2024,12,2.7,136.6,136.6,-2,4.7,0.2,,,2.2,0.5
Ion Exchange Finance Ltd. [Merged],30-09-1998,12,31.3,168.3,168.3,-30.7,62,0.6,1.7,,29.3,1.2
Iponita Investments Pvt. Ltd.,31-03-2005,12,,0.1,0.1,,,,,,,
Ipro Capital Ltd.,31-03-2023,12,59.1,352.8,352.8,47.9,11.2,0.1,0.6,,58.7,
Ipsa Credit Pvt. Ltd.,31-03-2023,12,21.6,152.8,152.8,3.7,17.9,,0.3,,18.1,2.3
Iqbridge Limited,31-03-2013,12,0.3,155,155,-0.2,0.5,,,,0.3,
Iquest Enterprises Pvt. Ltd.,31-03-2022,12,332.6,12066.9,12066.9,131.4,201.2,1.6,1.9,1.1,331.2,0.1
Ircon Vadodara Kim Expressway Ltd.,31-03-2024,12,1687.1,10592,10592,481.2,1205.9,,0.3,429.9,1256.6,
Ireo Residences Co. Pvt. Ltd.,31-03-2023,12,40.6,5551.6,5551.6,-210.4,251,5.2,,,32.8,
Irrigation & Water Resources Finance Corpn. Ltd. [Merged],31-03-2014,12,137.6,1433.8,1433.8,85.2,52.4,,6.6,,137.6,
Isabel Builders & Developers Pvt. Ltd.,31-03-2024,12,,865.7,865.7,-7.5,8.1,,,,,
Isgec Covema Ltd.,31-03-2024,12,3.6,117.8,117.8,0.1,3.5,,,,3.3,
Isgec Exports Ltd.,31-03-2024,12,0.9,14.9,14.9,0.7,0.2,,,,0.9,
Isha Infratech Pvt. Ltd.,31-03-2023,12,19,7137.7,7137.7,-70,89,2.3,,5.3,13.5,
Ishaan Infrastructures & Shelters Ltd.,31-03-2024,12,2,73.3,73.3,-0.9,2.9,,0.4,,2,
Ishan Finlease Ltd.,31-03-2023,12,42.9,237.2,237.2,29.7,13.2,,,1.7,41.2,
Ishanika Securities Pvt. Ltd.,31-03-2023,12,2.4,62.1,62.1,-9.9,12.3,0.1,0.1,,2.2,
Ishhar Overseas Ltd.,31-03-2022,12,,38.9,38.9,-10.3,10.3,,,,,
Ishita Consultancy Pvt. Ltd.,31-03-2022,12,0.8,18.2,18.2,0,0.8,,,,0.8,
Ishwarshakti Holding & Traders Ltd.,31-03-2024,12,5.9,31.7,31.7,3,2.9,,,,5.9,
Iskita Traders Pvt. Ltd.,31-03-2010,12,,7.5,7.5,,,,,,,
Ispat Parivar Finance Ltd.,30-11-2003,8,,0,,,,,,,,
Ispat Sheets Ltd.,31-03-2023,12,0.1,418.2,418.2,0,0.1,,,0.1,,
Istreet Network Ltd.,31-03-2024,12,,2.2,2.2,-1.3,1.3,,0.3,,,
Isvariyaam Nidhi Ltd.,31-03-2010,12,0.8,8.9,8.9,0.1,0.7,,,,0.8,
Italindian Trade & Financial Services Pvt. Ltd. [Merged],31-03-2011,12,,8.2,8.2,,,,,,,
Itel Industries Ltd.,31-03-2023,12,,1.1,1.1,-0.1,0.1,,,,,
Itron Metering Solutions India Pvt. Ltd. [Merged],31-03-2022,12,0.2,69.1,69.1,-3.7,3.9,,,,0.2,
Ittina Infra-Tech Ltd.,31-03-2023,12,,327,327,,,,,,,
Ives Leasing & Finance Ltd.,31-03-2023,12,10.6,134.7,134.7,1.3,9.3,,,,10.6,
Ivonne Infrastructure Ltd.,31-03-2021,12,1.2,15.4,15.4,0.9,0.3,,,,1.2,
Ivory Consultants Pvt. Ltd. [Merged],31-03-2022,12,544.5,1236,1236,464.3,80.2,2.5,0.5,,539.9,
Ivory Investment & Trdg. Co. Pvt. Ltd.,31-03-2023,12,,37.6,37.6,,,,,,,
Ivory Properties & Hotels Pvt. Ltd.,31-03-2022,12,545.5,11746,11746,59.6,614.7,78.6,0.8,210.7,334.8,
Ivy Product Intermediaries Ltd.,31-03-2023,12,3.2,68.4,68.4,1.6,1.6,0.7,,,3.2,
Ivy Talent India Pvt. Ltd. [Merged],31-03-2015,12,0.7,3.7,3.7,-171.6,172.3,0.6,,,0.7,
Ivycap Ventures Advisors Pvt. Ltd.,31-03-2023,12,441.4,630.5,630.5,203.2,238.2,,13.6,295.8,,145.6
J & K Mineral Devp. Corpn. Ltd.,31-03-2023,12,,324.8,324.8,-12.4,12.4,,0.5,,,
J A Finance Ltd.,31-03-2024,12,30.7,272.3,272.3,10.1,20.6,0.1,0.3,,30.5,
J B Boda Insurance & Reinsurance Brokers Pvt. Ltd.,31-03-2023,12,1299.3,3070.7,3070.7,336.6,962.7,3.1,34.7,,1248.5,
J B F Petrochemicals Ltd.,31-03-2023,12,,46502.7,46502.7,-13807,13807,,27.1,,,
J B M Financial Services Ltd.,31-03-2005,12,0.1,0.6,0.6,0,0.1,,,0.1,,
J Bhasin Leasing Ltd.,31-03-2014,12,,29.7,29.7,,,,,,,
J C K Infra Projects Ltd.,31-03-2023,12,18.7,48.2,48.2,7.6,11.1,0.5,,,16.7,0.5
J D Electric Composer Ltd.,31-03-2011,12,,3.3,3.3,,,,,,,
J D M Financial Services Ltd.,31-03-2023,12,33.1,290.7,290.7,23.2,9.9,,0.2,,32.4,
J D Motor Finance Ltd.,31-03-2009,12,0.9,5.5,5.5,0.2,0.7,,0.1,,0.9,
J D Properties Ltd. [Merged],31-03-2002,12,11,136,136,4.7,6.3,,,,11,
J D S Finance Co. Ltd.,31-03-2024,12,0.6,28.2,28.2,-5.9,6.5,,,,0.6,
J E Energy Ventures Pvt. Ltd.,31-03-2023,12,304.7,308.5,308.5,297.5,7.2,,,,,5.3
J E L Finance & Invsts. Ltd.,31-03-2022,12,3.9,108.1,108.1,3.4,0.5,,,,3.9,
J F C Finance (India) Ltd.,31-03-2023,12,256.4,1355.1,1355.1,13.7,242.7,,,0.2,61.1,
J G Credit Pvt. Ltd.,31-03-2012,12,0.1,3.2,3.2,0,0.1,,,,0.1,
J G Finance Ltd.,31-03-2023,12,5.5,53,53,1.7,3.8,,,,3.7,1.8
J G Holdings & Invsts. Pvt. Ltd.,31-03-2009,12,0.4,86.7,86.7,-4.3,4.7,,,,0.4,
J G Industries Ltd.,31-03-2022,12,3.9,158.2,158.2,3.7,0.2,,,,3.9,
J H Trading & Fincap Ltd.,31-03-2023,12,4.7,86.2,86.2,1.9,2.8,,0.5,,4.7,
J I T F Urban Waste Mgmt. (Ferozepur) Ltd.,31-03-2023,12,,97.4,97.4,-64.6,64.6,,0.6,,,
J I T F Water Devp. Co. Ltd.,31-03-2011,10,0.3,12.6,12.6,-5.7,6,0.3,0.3,,0.3,
J J Finance Corpn. Ltd.,31-03-2024,12,7.7,96.6,96.6,3.7,4,,0.1,,7.7,
J J Holdings Ltd. [Merged],31-03-2000,12,0.5,3,3,-0.1,0.6,0.2,,,0.5,
J J House Pvt. Ltd.,31-03-2023,12,23174.9,629.4,629.4,10.1,23180.5,0.2,,23170.1,2.7,0.5
J K B Financial Services Ltd.,31-03-2023,12,104.7,565.4,565.4,12.1,92.6,,3.8,,104.4,0.3
J K Bros Constrafin Pvt. Ltd.,31-03-2011,12,68.9,321.9,321.9,67.4,1.5,,,,68.9,
J K Cement (Western) Ltd.,31-03-2012,12,,0.6,0.6,,,,,,,
J K Helene Curtis Ltd.,31-03-2023,12,10.8,4403.6,4403.6,7.8,3,0.2,,,10.8,
J K Investo Trade (India) Ltd.,31-03-2022,12,89.7,7511.4,7511.4,65.8,23.9,0.6,,0.7,21.1,
J K S Finance Ltd.,31-03-2023,12,76.1,1524.6,1524.6,44.5,31.6,,,,76.1,
J K Securities Pvt. Ltd.,31-03-2023,12,150.3,524.9,524.9,11.2,139.1,0.3,5.1,,139.6,10.7
J K Traders Ltd.,31-03-2023,12,46.6,481,481,23,23.6,,,,46.5,
J L A Infraville Shoppers Ltd.,31-03-2024,12,3.6,80.5,80.5,1.1,2.5,,0.1,,3.6,
J L D Cement Pvt. Ltd.,31-03-2010,12,0.3,666.2,666.2,0.1,0.2,,,,0.3,
J L Growth Fund Ltd.,31-03-2023,12,7.3,550.5,550.5,5.4,1.9,,,,7.3,
J L T Independent Consultancy Services Pvt. Ltd.,31-03-2023,12,21.1,588,588,16.2,4.9,0.6,0.2,,21.1,
J M Assets Mgmt. Pvt. Ltd.,31-03-2023,12,253.5,1832.9,1832.9,169.1,84.4,2.2,,17.4,235.6,
J M B Commercial & Credit Ltd.,31-03-2009,12,,99.5,99.5,,,,,,,
J M D Investemts & Finance Co.,31-10-1999,7,,19.2,19.2,-0.1,0.1,,,,,
J M D Sounds Ltd.,31-03-2023,12,1.8,961.6,961.6,-7.1,8.9,,,,1.8,
J M D Ventures Ltd.,31-03-2024,12,35.9,390,390,20.9,15,0.2,0.2,4.7,31.1,0.1
J M Financial & Invst. Consultancy Services Pvt. Ltd.,31-03-2023,12,570.5,9413.7,9413.7,343.2,227.3,7.8,17.4,24.9,542.3,0.2
J M Financial Asset Mgmt. Ltd.,31-03-2024,12,291.5,1817.6,1817.6,-292,583.5,3.5,0.9,10.1,280.3,
J M Financial Asset Reconstruction Co. Ltd.,31-03-2024,12,3631.3,36786.8,36786.8,-9424.4,13055.7,3.4,1.4,,3630.9,
J M Financial Capital Ltd. [Merged],31-03-2023,12,660.6,3078.9,3078.9,259.3,401.3,0.3,,1.1,352,
J M Financial Commtrade Ltd.,31-03-2024,12,23.8,256.1,256.1,10.4,13.4,,,,22.1,
J M Financial Credit Solutions Ltd.,31-03-2024,12,14816.8,108447.1,108447.1,471.6,14345.2,3.7,,,13048.2,
J M Financial Home Loans Ltd.,31-03-2024,12,2571,21929.9,21929.9,398.1,2172.9,12.8,1.2,126.3,2407.1,32.7
J M Financial Institutional Securities Ltd. [Merged],31-03-2017,12,2261,3872.9,3872.9,491.5,1769.5,20.5,105.9,72.7,2182.8,4.4
J M Financial Institutional Securities Pvt. Ltd. [Merged],31-03-2011,12,710.9,1859.6,1859.6,133.9,577,1.2,72.9,,649.1,61.8
J M Financial Insurance Broking Pvt. Ltd.,31-03-2016,12,,0.1,0.1,-0.1,0.1,,,,,
J M Financial Invst. Managers Ltd. [Merged],31-03-2017,12,26,1234.1,1234.1,-63,89,2,5.9,12.6,13.2,0.2
J M Financial Ltd.,31-03-2024,12,8250.9,44626.9,44626.9,3096,5154.9,20.5,,54.2,8148,1.9
J M Financial Products Ltd.,31-03-2024,12,11692.3,70247.7,70247.7,4268.4,7423.9,32.2,0.4,,11662.5,19.7
J M Financial Securities Pvt. Ltd. [Merged],31-03-2011,12,34.7,107.5,107.5,12.2,22.5,,,,34.7,
J M Financial Services Ltd.,31-03-2024,12,9419.7,52345.4,52345.4,1022.4,8397.3,42,17.5,,9077.9,207.7
J M Financial Ventures Ltd. [Merged],31-03-2011,12,174.5,2210.5,2210.5,56,118.5,,,32.9,139.5,
J M J Fintech Ltd.,31-03-2024,12,75.1,281.4,281.4,21.4,53.7,,2.1,,74.6,
J M N Investments Research Pvt. Ltd.,31-03-2023,12,27.8,92.8,92.8,1.8,26,,1.2,27.8,,
J M S Mines & Minerals Pvt. Ltd.,31-03-2023,12,237,865,865,154.9,82.1,,0.6,,12.7,224.3
J P Morgan Advisors India Pvt. Ltd.,31-03-2020,12,225.3,5635.5,5635.5,118.2,107.1,,0.8,,225.3,
J P Morgan Asset Mgmt. India Pvt. Ltd.,31-03-2023,12,,1254.4,1254.4,-6.2,6.2,0.1,,,,
"J P Morgan Chase Bank, National Association",31-03-2020,12,36145.3,925070.9,925070.9,12851.8,23293.5,,219.7,,35654.1,309
J P Morgan India Pvt. Ltd.,31-03-2023,12,12052.4,95950.2,95950.2,5103.5,6948.9,508.5,60.6,5115.6,6450,384.5
J P Morgan Securities (India) Pvt. Ltd.,31-03-2023,12,2909.9,46763.5,46763.5,1572.2,1337.7,20.3,6.7,,2851.1,31.4
J P T Securities Ltd.,31-03-2024,12,4.2,72.1,72.1,-8.4,12.6,,1.6,,4.2,
J R Agrotech Pvt. Ltd.,31-03-2022,12,1.7,1702.1,1702.1,-24.1,25.6,0.8,,0.4,1.3,
J R D Finance Ltd.,31-03-2024,12,30.6,366.2,366.2,0.7,29.9,0.1,1.7,,30.5,
J R Finance Ltd.,31-03-2010,12,1,53.9,53.9,0.3,0.7,,,,1,
J R Financial Consultant Pvt. Ltd.,31-03-2022,12,22.8,34.6,34.6,6,16.8,,1.5,21.3,1.4,
J S B Securities Ltd.,31-03-2023,12,25.6,467.8,467.8,13.5,12.1,1.2,,12,13.6,
J S C Vtb Bank,31-03-2020,12,188.3,865.7,865.7,113.3,75,,14.5,,111.5,
J S E L Securities Ltd.,31-03-2023,12,13.5,185,185,0.7,12.8,0.2,2.7,,12.7,0.3
J S Global Finance Ltd.,31-03-2023,12,26.3,342.8,342.8,1.6,24.7,,,,26.2,
J S L Corporate Services Ltd.,31-03-2023,12,,47.8,47.8,-0.1,0.1,,,,,
J S L Media Ltd. [Merged],31-03-2022,12,,1.1,1.1,-3,3,,,,,
J S M Investments Ltd.,31-03-2012,12,1.6,53,53,-0.1,1.7,,,,1.6,
J S W Aluminium Ltd.,31-03-2023,12,0.6,1004.9,1004.9,-0.8,1.4,,,,0.6,
